"Sample","City","State","Latitude","Longitude","Date","Temp_profile_metric","originalSample","originalName","originalFile","Full_16S_BioProject","Full_16S_BioSample","V4_16S_accession","V4_16S_BioProject"
"Auburn__AL__2012-08-14","Auburn","Alabama",32.536,-85.509,"8/14/12",0.094663891,"1St_31_Southside","PB_27F_0009--PB_1492R_0007","m64120_210318_130156.demux.PB_27F_0009--PB_1492R_0007.fastq.gz","PRJNA809416","SAMN26027590","SAMN13660070","PRJNA597057"
"Austin__TX__2012-08-15","Austin","Texas",30.279,-97.651,"8/15/12",0.103300978,"1St_59_Walnut_Creek","PB_27F_0014--PB_1492R_0007","m64120_210318_130156.demux.PB_27F_0014--PB_1492R_0007.fastq.gz","PRJNA809416","SAMN26027595","SAMN13660096","PRJNA597057"
"Delano__MN__2013-01-16","Delano","Minnesota",45.052,-93.784,"1/16/13",-0.111910848,"1St_85_DELANO","PB_27F_0016--PB_1492R_0006","m64120_210318_130156.demux.PB_27F_0016--PB_1492R_0006.fastq.gz","PRJNA809416","SAMN26027600","SAMN13660122","PRJNA597057"
"Denver__CO__2013-01-23","Denver","Colorado",39.808,-104.956,"1/23/13",-0.053054331,"1St_152_Metro_North","PB_27F_0012--PB_1492R_0006","m64120_210318_130156.demux.PB_27F_0012--PB_1492R_0006.fastq.gz","PRJNA809416","SAMN26027588","SAMN13659997","PRJNA597057"
"GreatFalls__MT__2013-01-16","Great Falls","Montana",47.521,-111.299,"1/16/13",-0.080754333,"1St_100_Great_Falls","PB_27F_0007--PB_1492R_0006","m64120_210318_130156.demux.PB_27F_0007--PB_1492R_0006.fastq.gz","PRJNA809416","SAMN26027580","SAMN13659943","PRJNA597057"
"Honolulu__HI__2012-09-07","Honolulu","Hawaii",21.331,-158.037,"9/7/12",0.164542897,"1St_78_Honouliuli","PB_27F_0018--PB_1492R_0007","m64120_210318_130156.demux.PB_27F_0018--PB_1492R_0007.fastq.gz","PRJNA809416","SAMN26027599","SAMN13660115","PRJNA597057"
"IowaCity__IA__2013-01-15","Iowa City","Iowa",41.611,-91.506,"1/15/13",-0.030877804,"1St_130_IowaCity","PB_27F_0015--PB_1492R_0006","m64120_210318_130156.demux.PB_27F_0015--PB_1492R_0006.fastq.gz","PRJNA809416","SAMN26027583","SAMN13659973","PRJNA597057"
"JohnsCreek__GA__2012-08-16","Johns Creek","Georgia",34.018,-84.227,"8/16/12",0.062230254,"1St_35_Little_River_WRF","PB_27F_0012--PB_1492R_0007","m64120_210318_130156.demux.PB_27F_0012--PB_1492R_0007.fastq.gz","PRJNA809416","SAMN26027591","SAMN13660073","PRJNA597057"
"Juneau__AK__2013-01-23","Juneau","Alaska",58.286,-134.385,"1/23/13",-0.094511097,"1St_141_Mendenhall","PB_27F_0011--PB_1492R_0006","m64120_210318_130156.demux.PB_27F_0011--PB_1492R_0006.fastq.gz","PRJNA809416","SAMN26027586","SAMN13659985","PRJNA597057"
"Kenedy__TX__2012-08-30","Kenedy","Texas",28.814,-97.849,"8/30/12",0.132951298,"1St_29_Kenedy_Texas","PB_27F_0008--PB_1492R_0007","m64120_210318_130156.demux.PB_27F_0008--PB_1492R_0007.fastq.gz","PRJNA809416","SAMN26027589","SAMN13660068","PRJNA597057"
"Laramie__WY__2013-01-24","Laramie","Wyoming",41.338,-105.605,"1/24/13",-0.117248754,"1St_151_Laramie","PB_27F_0013--PB_1492R_0006","m64120_210318_130156.demux.PB_27F_0013--PB_1492R_0006.fastq.gz","PRJNA809416","SAMN26027587","SAMN13659996","PRJNA597057"
"Lincoln__NE__2013-01-23","Lincoln","Nebraska",40.839,-96.688,"1/23/13",-0.023600143,"1St_132_Lincoln","PB_27F_0009--PB_1492R_0006","m64120_210318_130156.demux.PB_27F_0009--PB_1492R_0006.fastq.gz","PRJNA809416","SAMN26027584","SAMN13659975","PRJNA597057"
"Madison__WI__2013-01-27","Madison","Wisconsin",43.036,-89.357,"1/27/13",-0.084931734,"1St_135_Madison","PB_27F_0010--PB_1492R_0006","m64120_210318_130156.demux.PB_27F_0010--PB_1492R_0006.fastq.gz","PRJNA809416","SAMN26027585","SAMN13659978","PRJNA597057"
"Marathon__FL__2012-08-21","Marathon","Florida",24.746,-80.983,"8/21/12",0.163871208,"1St_70_Marathon","PB_27F_0017--PB_1492R_0007","m64120_210318_130156.demux.PB_27F_0017--PB_1492R_0007.fastq.gz","PRJNA809416","SAMN26027598","SAMN13660107","PRJNA597057"
"Memphis__TN__2012-08-15","Memphis","Tennessee",35.188,-90.055,"8/15/12",0.062773712,"1St_53_Memphis","PB_27F_0013--PB_1492R_0007","m64120_210318_130156.demux.PB_27F_0013--PB_1492R_0007.fastq.gz","PRJNA809416","SAMN26027594","SAMN13660091","PRJNA597057"
"Milwaukee__WI__2016-01-06","Milwaukee","Wisconsin",43.022,-87.901,"1/6/16",-0.074545908,"JAN16JI","PB_27F_0007--PB_1492R_0004","m64120_210318_130156.demux.PB_27F_0007--PB_1492R_0004.fastq.gz","PRJNA809416","SAMN26027610","SAMN13659875","PRJNA597057"
"Milwaukee__WI__2017-01-05","Milwaukee","Wisconsin",43.022,-87.901,"1/5/17",-0.074545908,"JAN17JI","PB_27F_0007--PB_1492R_0005","m64120_210318_130156.demux.PB_27F_0007--PB_1492R_0005.fastq.gz","PRJNA809416","SAMN26027611","SAMN13659877","PRJNA597057"
"Milwaukee__WI__2016-05-02","Milwaukee","Wisconsin",43.022,-87.901,"5/2/16",-0.074545908,"MAY16JI","PB_27F_0011--PB_1492R_0004","m64120_210318_130156.demux.PB_27F_0011--PB_1492R_0004.fastq.gz","PRJNA809416","SAMN26027618","SAMN13659904","PRJNA597057"
"Milwaukee__WI__2016-02-08","Milwaukee","Wisconsin",43.022,-87.901,"2/8/16",-0.074545908,"FEB16JI","PB_27F_0008--PB_1492R_0004","m64120_210318_130156.demux.PB_27F_0008--PB_1492R_0004.fastq.gz","PRJNA809416","SAMN26027608","SAMN13659866","PRJNA597057"
"Milwaukee__WI__2017-02-06","Milwaukee","Wisconsin",43.022,-87.901,"2/6/17",-0.074545908,"FEB17JI","PB_27F_0008--PB_1492R_0005","m64120_210318_130156.demux.PB_27F_0008--PB_1492R_0005.fastq.gz","PRJNA809416","SAMN26027609","SAMN13659868","PRJNA597057"
"Milwaukee__WI__2016-09-21","Milwaukee","Wisconsin",43.022,-87.901,"9/21/16",-0.074545908,"SEP16JI","PB_27F_0015--PB_1492R_0004","m64120_210318_130156.demux.PB_27F_0015--PB_1492R_0004.fastq.gz","PRJNA809416","SAMN26027624","SAMN13659927","PRJNA597057"
"Milwaukee__WI__2016-06-08","Milwaukee","Wisconsin",43.022,-87.901,"6/8/16",-0.074545908,"JUN16JI","PB_27F_0012--PB_1492R_0004","m64120_210318_130156.demux.PB_27F_0012--PB_1492R_0004.fastq.gz","PRJNA809416","SAMN26027614","SAMN13659892","PRJNA597057"
"Milwaukee__WI__2016-03-02","Milwaukee","Wisconsin",43.022,-87.901,"3/2/16",-0.074545908,"MAR16JI","PB_27F_0009--PB_1492R_0004","m64120_210318_130156.demux.PB_27F_0009--PB_1492R_0004.fastq.gz","PRJNA809416","SAMN26027616","SAMN13659897","PRJNA597057"
"Milwaukee__WI__2017-03-01","Milwaukee","Wisconsin",43.022,-87.901,"3/1/17",-0.074545908,"MAR17JI","PB_27F_0009--PB_1492R_0005","m64120_210318_130156.demux.PB_27F_0009--PB_1492R_0005.fastq.gz","PRJNA809416","SAMN26027617","SAMN13659899","PRJNA597057"
"Milwaukee__WI__2016-10-05","Milwaukee","Wisconsin",43.022,-87.901,"10/5/16",-0.074545908,"OCT16JI","PB_27F_0016--PB_1492R_0004","m64120_210318_130156.demux.PB_27F_0016--PB_1492R_0004.fastq.gz","PRJNA809416","SAMN26027622","SAMN13659919","PRJNA597057"
"Milwaukee__WI__2016-07-18","Milwaukee","Wisconsin",43.022,-87.901,"7/18/16",-0.074545908,"JUL16JI","PB_27F_0013--PB_1492R_0004","m64120_210318_130156.demux.PB_27F_0013--PB_1492R_0004.fastq.gz","PRJNA809416","SAMN26027612","SAMN13659884","PRJNA597057"
"Milwaukee__WI__2016-04-07","Milwaukee","Wisconsin",43.022,-87.901,"4/7/16",-0.074545908,"APR16JI","PB_27F_0010--PB_1492R_0004","m64120_210318_130156.demux.PB_27F_0010--PB_1492R_0004.fastq.gz","PRJNA809416","SAMN26027602","SAMN13659841","PRJNA597057"
"Milwaukee__WI__2017-04-03","Milwaukee","Wisconsin",43.022,-87.901,"4/3/17",-0.074545908,"APR17JI","PB_27F_0010--PB_1492R_0005","m64120_210318_130156.demux.PB_27F_0010--PB_1492R_0005.fastq.gz","PRJNA809416","SAMN26027603","SAMN13659843","PRJNA597057"
"Milwaukee__WI__2016-11-03","Milwaukee","Wisconsin",43.022,-87.901,"11/3/16",-0.074545908,"NOV16JI","PB_27F_0017--PB_1492R_0004","m64120_210318_130156.demux.PB_27F_0017--PB_1492R_0004.fastq.gz","PRJNA809416","SAMN26027620","SAMN13659910","PRJNA597057"
"Milwaukee__WI__2016-08-03","Milwaukee","Wisconsin",43.022,-87.901,"8/3/16",-0.074545908,"AUG16JI","PB_27F_0014--PB_1492R_0004","m64120_210318_130156.demux.PB_27F_0014--PB_1492R_0004.fastq.gz","PRJNA809416","SAMN26027604","SAMN13659849","PRJNA597057"
"Milwaukee__WI__2017-08-22","Milwaukee","Wisconsin",43.022,-87.901,"8/22/17",-0.074545908,"AUG17JI","PB_27F_0014--PB_1492R_0005","m64120_210318_130156.demux.PB_27F_0014--PB_1492R_0005.fastq.gz","PRJNA809416","SAMN26027605","SAMN13659851","PRJNA597057"
"Milwaukee__WI__2017-05-01","Milwaukee","Wisconsin",43.022,-87.901,"5/1/17",-0.074545908,"MAY17JI","PB_27F_0011--PB_1492R_0005","m64120_210318_130156.demux.PB_27F_0011--PB_1492R_0005.fastq.gz","PRJNA809416","SAMN26027619","SAMN13659906","PRJNA597057"
"Milwaukee__WI__2016-12-07","Milwaukee","Wisconsin",43.022,-87.901,"12/7/16",-0.074545908,"DEC16JI","PB_27F_0018--PB_1492R_0004","m64120_210318_130156.demux.PB_27F_0018--PB_1492R_0004.fastq.gz","PRJNA809416","SAMN26027606","SAMN13659858","PRJNA597057"
"Milwaukee__WI__2017-12-01","Milwaukee","Wisconsin",43.022,-87.901,"12/1/17",-0.074545908,"DEC17JI","PB_27F_0018--PB_1492R_0005","m64120_210318_130156.demux.PB_27F_0018--PB_1492R_0005.fastq.gz","PRJNA809416","SAMN26027607","SAMN13659860","PRJNA597057"
"Milwaukee__WI__2017-09-26","Milwaukee","Wisconsin",43.022,-87.901,"9/26/17",-0.074545908,"SEP17JI","PB_27F_0015--PB_1492R_0005","m64120_210318_130156.demux.PB_27F_0015--PB_1492R_0005.fastq.gz","PRJNA809416","SAMN26027625","SAMN13659929","PRJNA597057"
"Milwaukee__WI__2017-06-07","Milwaukee","Wisconsin",43.022,-87.901,"6/7/17",-0.074545908,"JUN17JI","PB_27F_0012--PB_1492R_0005","m64120_210318_130156.demux.PB_27F_0012--PB_1492R_0005.fastq.gz","PRJNA809416","SAMN26027615","SAMN13659894","PRJNA597057"
"Milwaukee__WI__2017-10-04","Milwaukee","Wisconsin",43.022,-87.901,"10/4/17",-0.074545908,"OCT17JI","PB_27F_0016--PB_1492R_0005","m64120_210318_130156.demux.PB_27F_0016--PB_1492R_0005.fastq.gz","PRJNA809416","SAMN26027623","SAMN13659921","PRJNA597057"
"Milwaukee__WI__2017-07-12","Milwaukee","Wisconsin",43.022,-87.901,"7/12/17",-0.074545908,"JUL17JI","PB_27F_0013--PB_1492R_0005","m64120_210318_130156.demux.PB_27F_0013--PB_1492R_0005.fastq.gz","PRJNA809416","SAMN26027613","SAMN13659886","PRJNA597057"
"Milwaukee__WI__2017-11-02","Milwaukee","Wisconsin",43.022,-87.901,"11/2/17",-0.074545908,"NOV17JI","PB_27F_0017--PB_1492R_0005","m64120_210318_130156.demux.PB_27F_0017--PB_1492R_0005.fastq.gz","PRJNA809416","SAMN26027621","SAMN13659912","PRJNA597057"
"Portland__OR__2013-01-16","Portland","Oregon",45.547,-122.458,"1/16/13",0.004474898,"1St_101_Portland","PB_27F_0008--PB_1492R_0006","m64120_210318_130156.demux.PB_27F_0008--PB_1492R_0006.fastq.gz","PRJNA809416","SAMN26027581","SAMN13659944","PRJNA597057"
"Stockton__CA__2012-08-14","Stockton","California",37.936,-121.328,"8/14/12",0.048843064,"1St_43_Stockton_WWControl","PB_27F_0010--PB_1492R_0007","m64120_210318_130156.demux.PB_27F_0010--PB_1492R_0007.fastq.gz","PRJNA809416","SAMN26027592","SAMN13660081","PRJNA597057"
"Vancouver__WA__2013-01-15","Vancouver","Washington",45.636,-122.694,"1/15/13",-0.001263286,"1St_103_Vancouver_Westside","PB_27F_0014--PB_1492R_0006","m64120_210318_130156.demux.PB_27F_0014--PB_1492R_0006.fastq.gz","PRJNA809416","SAMN26027582","SAMN13659946","PRJNA597057"
"WestPalmBeach__FL__2012-08-08","West Palm Beach","Florida",26.741,-80.132,"8/8/12",0.146778241,"1St_46_East_Central","PB_27F_0011--PB_1492R_0007","m64120_210318_130156.demux.PB_27F_0011--PB_1492R_0007.fastq.gz","PRJNA809416","SAMN26027593","SAMN13660084","PRJNA597057"
"Whittier__CA__2012-08-21","Whittier","California",34.034,-118.023,"8/21/12",0.082875895,"1St_69_Whittier","PB_27F_0016--PB_1492R_0007","m64120_210318_130156.demux.PB_27F_0016--PB_1492R_0007.fastq.gz","PRJNA809416","SAMN26027597","SAMN13660106","PRJNA597057"
"Woodmere__OH__2013-01-17","Woodmere","Ohio",41.456,-81.475,"1/17/13",-0.055661433,"1St_90_WOODMERE","PB_27F_0017--PB_1492R_0006","m64120_210318_130156.demux.PB_27F_0017--PB_1492R_0006.fastq.gz","PRJNA809416","SAMN26027601","SAMN13660127","PRJNA597057"
"Yuma__AZ__2012-08-15","Yuma","Arizona",32.73,-114.664,"8/15/12",0.156143985,"1St_62_Yuma","PB_27F_0015--PB_1492R_0007","m64120_210318_130156.demux.PB_27F_0015--PB_1492R_0007.fastq.gz","PRJNA809416","SAMN26027596","SAMN13660099","PRJNA597057"
